sessionid,query_desc,total,time,categorycode,campo_utilizado,sintaxis,cant_campos_utilizados,problema_detectado
9de82771022a2d4c7a21d787607848b2,"ti,wrdl: precalculo 6ta edicion, ",0,2022-08-30 14:19:07,BIBLIOTECA,ti,precalculo 6ta edicion,1,error de tipeo
8bd5e7cb958ecdc4e41a045fe1bc01e8,"ti,wrdl: Gray anatomía, ",0,2022-08-30 14:21:26,BIBLIOTECA,ti,Gray anatomía,1,no hay resultados
07e77378c3d50af1fb42749c66690b7d,"kw,wrdl: instrumental y dispositivos electronicos, ",0,2022-08-31 17:04:00,BIBLIOTECA,kw,instrumental y dispositivos electronicos,1,no hay resultados
07e77378c3d50af1fb42749c66690b7d,"callnum,wrdl: instrumental y dispositivos electronicos, ",0,2022-08-31 17:05:00,BIBLIOTECA,callnum,instrumental y dispositivos electronicos,1,campo incorrecto
07e77378c3d50af1fb42749c66690b7d,"callnum,wrdl: dispositivos electrónicos, ",0,2022-08-31 17:05:00,BIBLIOTECA,callnum,dispositivos electrónicos,1,campo incorrecto
07e77378c3d50af1fb42749c66690b7d,"callnum,wrdl: dispositivos electrónicos, ",0,2022-08-31 17:06:46,BIBLIOTECA,callnum,dispositivos electrónicos,1,campo incorrecto
432c562d6655ee8074150113105e6ddd,"kw,wrdl: churchill 7ma, ",0,2022-09-05 10:24:42,BIBLIOTECA,kw,churchill 7ma,1,error de tipeo
2bcf9cfcacf7f0a0f41117f5d8a6aed1,"kw,wrdl: nahuel ricart, ",0,2022-09-05 15:40:36,BIBLIOTECA,kw,nahuel ricart,1,no hay resultados
39a4715be04eaaa6e5857ad3d10ab8db,"kw,wrdl: James Stewart and kw,wrdl: cálculo en una variable, mc-itype,phr:C",0,2022-09-05 20:54:00,BIBLIOTECA,"kw, kw, mc-itype","James Stewart and kw, cálculo en una variable, C",3,combinacion de campos incorrecta
39a4715be04eaaa6e5857ad3d10ab8db,"kw,wrdl: James Stewart and kw,wrdl: cálculo en una variable, mc-itype,phr:C",0,2022-09-05 20:55:00,BIBLIOTECA,"kw, kw, mc-itype","James Stewart and kw, cálculo en una variable, C",3,combinacion de campos incorrecta
c16737fcead423643d041ae107427309,"kw,wrdl: cuper, ",0,2022-09-06 12:04:47,BIBLIOTECA,kw,cuper,1,error de tipeo
b6292b0d5531db090b3a6a9be31b566f,"su,wrdl: PTM, ",0,2022-09-13 14:32:10,BIBLIOTECA,su,PTM,1,error de tipeo
b6292b0d5531db090b3a6a9be31b566f,"su,wrdl: PMY, ",0,2022-09-13 14:32:14,BIBLIOTECA,su,PMY,1,error de tipeo
b6292b0d5531db090b3a6a9be31b566f,"su,wrdl: PMT, ",0,2022-09-13 14:32:18,BIBLIOTECA,su,PMT,1,error de tipeo
878ba12cf219524a10bb9e15b186b484,"kw,wrdl: rambaugh, ",0,2022-09-14 17:50:00,DOCENTE,kw,rambaugh,1,error de tipeo
878ba12cf219524a10bb9e15b186b484,"kw,wrdl: rambaugh, ",0,2022-09-14 17:50:40,DOCENTE,kw,rambaugh,1,error de tipeo
878ba12cf219524a10bb9e15b186b484,"kw,wrdl: rambaugh, ",0,2022-09-14 17:50:42,DOCENTE,kw,rambaugh,1,error de tipeo
878ba12cf219524a10bb9e15b186b484,"kw,wrdl: rambaugh, ",0,2022-09-14 17:50:46,DOCENTE,kw,rambaugh,1,error de tipeo
6b631fdf2103693b417f61b9431de186,"kw,wrdl: Ines del alma mia, ",0,2022-09-26 12:05:00,BIBLIOTECA,kw,Ines del alma mia,1,no hay resultados
894d6d6fdd0d332689e96dea733ef91c,"kw,wrdl: serwey, ",0,2022-11-04 16:14:12,BIBLIOTECA,kw,serwey,1,error de tipeo
1f72ec421ecb4c6a1534c26d05ddd249,"kw,wrdl: bx:5134, ",0,2022-11-11 12:23:00,BIBLIOTECA,kw,bx:5134,1,error de tipeo
a550db3afb5dd08d24e7543c18f8cfd8,"AU:GUITA, ",0,2022-11-16 13:46:00,S,au,GUITA,1,error de tipeo
30662a2775aa035f29e19cd9a7e83cb9,"kw,wrdl: rogwaski, ",0,2022-11-17 15:07:00,BIBLIOTECA,kw,rogwaski,1,error de tipeo
3ea58b9355e0292c595f07280aaaa8bc,"kw,wrdl: piscku, ",0,2022-11-23 10:12:00,BIBLIOTECA,kw,piscku,1,error de tipeo
da76453a0c220aa95635c33265ee7c49,"kw,wrdl: destilción, ",0,2022-11-30 13:34:00,BIBLIOTECA,kw,destilción,1,error de tipeo
da76453a0c220aa95635c33265ee7c49,"kw,wrdl: schwaun, ",0,2022-11-30 15:31:34,BIBLIOTECA,kw,schwaun,1,error de tipeo
15912260ca4cfc247c2647986c4b2869,"callnum,wrdl: biología molecular y celular, ",0,2022-12-02 21:08:32,BIBLIOTECA,callnum,biología molecular y celular,1,campo incorrecto
15912260ca4cfc247c2647986c4b2869,"callnum,wrdl: biologia, ",0,2022-12-02 21:08:44,BIBLIOTECA,callnum,biologia,1,campo incorrecto
c8df3b99ce677d953e41fe6689a9d7b2,"kw,wrdl: swebok, ",0,2022-12-12 14:35:00,DOCENTE,kw,swebok,1,no hay resultados
